Time_Index,None,MIDAT_reference_naturalgas,NE_reference_naturalgas,NE_reference_uranium,SE_reference_naturalgas,SE_reference_uranium,MIDAT_reference_uranium
0,0,0.05306,0.05306,0,0.05306,0,0
1,0,3.58,4.4,0.73,3.68,0.73,0.73
2,0,3.58,4.4,0.73,3.68,0.73,0.73
3,0,3.58,4.4,0.73,3.68,0.73,0.73
4,0,3.58,4.4,0.73,3.68,0.73,0.73
5,0,3.58,4.4,0.73,3.68,0.73,0.73
6,0,3.58,4.4,0.73,3.68,0.73,0.73
7,0,3.58,4.4,0.73,3.68,0.73,0.73
8,0,3.58,4.4,0.73,3.68,0.73,0.73
9,0,3.58,4.4,0.73,3.68,0.73,0.73
10,0,3.58,4.4,0.73,3.68,0.73,0.73
11,0,3.58,4.4,0.73,3.68,0.73,0.73
12,0,3.58,4.4,0.73,3.68,0.73,0.73
13,0,3.58,4.4,0.73,3.68,0.73,0.73
14,0,3.58,4.4,0.73,3.68,0.73,0.73
15,0,3.58,4.4,0.73,3.68,0.73,0.73
16,0,3.58,4.4,0.73,3.68,0.73,0.73
17,0,3.58,4.4,0.73,3.68,0.73,0.73
18,0,3.58,4.4,0.73,3.68,0.73,0.73
19,0,3.58,4.4,0.73,3.68,0.73,0.73
20,0,3.58,4.4,0.73,3.68,0.73,0.73
21,0,3.58,4.4,0.73,3.68,0.73,0.73
22,0,3.58,4.4,0.73,3.68,0.73,0.73
23,0,3.58,4.4,0.73,3.68,0.73,0.73
24,0,3.58,4.4,0.73,3.68,0.73,0.73
25,0,3.58,4.4,0.73,3.68,0.73,0.73
26,0,3.58,4.4,0.73,3.68,0.73,0.73
27,0,3.58,4.4,0.73,3.68,0.73,0.73
28,0,3.58,4.4,0.73,3.68,0.73,0.73
29,0,3.58,4.4,0.73,3.68,0.73,0.73
30,0,3.58,4.4,0.73,3.68,0.73,0.73
31,0,3.58,4.4,0.73,3.68,0.73,0.73
32,0,3.58,4.4,0.73,3.68,0.73,0.73
33,0,3.58,4.4,0.73,3.68,0.73,0.73
34,0,3.58,4.4,0.73,3.68,0.73,0.73
35,0,3.58,4.4,0.73,3.68,0.73,0.73
36,0,3.58,4.4,0.73,3.68,0.73,0.73
37,0,3.58,4.4,0.73,3.68,0.73,0.73
38,0,3.58,4.4,0.73,3.68,0.73,0.73
39,0,3.58,4.4,0.73,3.68,0.73,0.73
40,0,3.58,4.4,0.73,3.68,0.73,0.73
41,0,3.58,4.4,0.73,3.68,0.73,0.73
42,0,3.58,4.4,0.73,3.68,0.73,0.73
43,0,3.58,4.4,0.73,3.68,0.73,0.73
44,0,3.58,4.4,0.73,3.68,0.73,0.73
45,0,3.58,4.4,0.73,3.68,0.73,0.73
46,0,3.58,4.4,0.73,3.68,0.73,0.73
47,0,3.58,4.4,0.73,3.68,0.73,0.73
48,0,3.58,4.4,0.73,3.68,0.73,0.73
49,0,3.58,4.4,0.73,3.68,0.73,0.73
50,0,3.58,4.4,0.73,3.68,0.73,0.73
51,0,3.58,4.4,0.73,3.68,0.73,0.73
52,0,3.58,4.4,0.73,3.68,0.73,0.73
53,0,3.58,4.4,0.73,3.68,0.73,0.73
54,0,3.58,4.4,0.73,3.68,0.73,0.73
55,0,3.58,4.4,0.73,3.68,0.73,0.73
56,0,3.58,4.4,0.73,3.68,0.73,0.73
57,0,3.58,4.4,0.73,3.68,0.73,0.73
58,0,3.58,4.4,0.73,3.68,0.73,0.73
59,0,3.58,4.4,0.73,3.68,0.73,0.73
60,0,3.58,4.4,0.73,3.68,0.73,0.73
